01925 你依旧爱我
77543 猜猜我是谁
7758521 亲亲我吧我爱你
775885 亲亲我抱抱我
778 吃吃吧
77895 紧紧抱着我
786 吃饱了
7998 去走走吧
8 不
8+9 八家将
8006 不理你了
8012 2018
8013 伴你一生
8074 把你气死
81176 不要在一起了
817 英粉
82475 被爱是幸福
825 别爱我
837 别生气
8384 不三不四
847 别生气
857 蹦迪
85941 帮我告诉他
860 不留你
865 别惹我
871 白贼义
88 再见
8834760 漫漫相思只为你
885 帮帮我
886 再见
898 分手吧
8平方 六四
9012 2019
902535 求你爱我想我
9089 求你别走
910 就依你
918 加油吧
920 就爱你
93110 好像见见你
940194 告诉你一件事
9420 就是爱你
9494 就是就是
95 救我
9527 无厘头
987 对不起
987 就不去
98k 姆巴佩
99 nine nine
99 久久
990 求求你
9908875 求求你别抛弃我
== 等等
BRB berightback
BTW bytheway
HJYZ 回家养猪
HOMO 同性恋
HXD 好兄弟
I服了U 我服了你
JBDXBL 鸡巴都笑爆了
JC 警察
JJYY 叽叽歪歪
JJYY 唧唧歪歪
JQ 基情
JQ 奸情
JS 奸商
KKP 看看逼
KKP 磕磕炮
KP 游戏的主持者和发起人
KSY Kiss you
LAG 卡机
LG 撸管
LS 楼上
LX 楼下
LYB 老阴屄
LZ 楼主
LZSB 兰州烧饼
LZSB 楼主傻屄
LZSB 楼主傻逼
Lay了 累了
MB 懵逼
MB 麦霸
MD 妈的
ME2 me too
ML 做爱
MLGB 妈了个逼
MM 妹妹
MM 没门
MM 美眉
MS 貌似
NB 牛吧
NB 牛逼
NB 牛鞭
NBA 牛屄啊
NC 数字控制
NC 牛叉
NC 纳粹
NC 脑残
NC 计算机网络
NMB 你妈逼
NMD 你妈的
NMSL 你美死了
NMSL 柠檬熟了
NMSL 那没事了
NOOB 菜鸟
OMG 我的天哪
P9 啤酒
PFPF 佩服佩服
PG 屁股
PLMM 漂亮美眉
PLZ PLS please
PMP 拍马屁
PPL 人们
PPMM 婆婆妈妈
Pro 专业
RPWT 人品问题
RY 人妖
Rick John 李克强
SJB 神经病
SL 色狼
SP 支持
SSP 深水埗
Sigh 叹息
Simon Li 李世民
TG telegram
THX 3X 谢谢
TST 尖沙咀
TTYL 再见
TX 同学
Tony带水 拖泥带水
UAV 无人机
UB 大招（手游黑话）
UFO 丑的胖的老的
UHC 超硬核
Ulzzang 颜值最高
V5 威武
V587 威武霸气
VC 虚拟歌手团体V家C社
VC 风险投资
VIIV 六四
VIP中P 至尊中至尊
VIP是个P VIP会员是个屁
VO VoiceOVER
VP 微屁
Vtb毕业 虚拟主播引退
V家 VOCALOID家族
WDB 外地逼
WFXX 无法学习
WG 文革
WG 武警
WOC 我肏
WQNMLGB 我去你妈了个屄
WSJ 卫生巾
WSN 猥琐男
WSND 我是你爹
WTF 什么鬼
WWDMZZFYB 为我的莽撞自罚一杯
XMDYS 羡慕的要死
XMSL 羡慕死了
XP 性癖
XSWL 吓死我了
XSWL 笑死我了
XWLB 想我了吧
YHSQ 淫秽色情
YLJ 洋垃圾
YP 硬盘
YXH 营销号
YY 意淫
YYGQ 阴阳怪气
Z>B 利大于弊
ZF 政府
ZG 中共
ZGNB Z哥牛逼
ZQSG 真情实感
ZZ 政治
ZZ 智障
ZZ 转载
ZZZQ 政治正确
a 啊
ac achive
aqy 爱奇艺
av巴蒂 所有人
av巴迪 所有人
awhl 啊我好了
awsl 啊我死了
a他 attack他
a你 attack你
a她 attack她
a它 attack它
a屁屁 app
a我 attack我
b4 before
bao里bao气 宝里宝气
bb 抱抱
bb 拜拜
bbl 求求了
bc 白痴
bcz 不存在
bd 不懂
bdjw 不懂就问
be 不好的结局
bf boyfriend
bff 永远的好朋友
bffl 一生的好朋友
bfm 白富美
bgm backgroundmusic
bhs 不嗨森
bhys 不好意思
bi 逼
biao里biao气 婊里婊气
biss 必死
bizhan B站
bi脸 屄脸
bksy 不可思议
bl 别捞
bl 男同性恋
blh 白莲花
blx 玻璃心
bm 闭麦
bml 别骂了
bp 白嫖
bt 变态
btw 顺便说一句
bunny忘记 把你忘记
bx 不行
bylf 本佣立返
b格 逼格
b脸 屄脸
cai 菜
cao 操
cbt 猜不透
ccav 报喜不报忧
ccp 处对象
cdd 臭弟弟
cdx 处对象
cf 嘲讽
cgx 处关系
chao 潮
ciao 操
ciou 丑
cmc 中国版Minecraft
cnm 操你妈
cp 对象
cpy文学 脆皮鸭文学
cqy 处Q友
csb 查水表
ct 警察
ctm 操他妈
cx 抄袭
c位 center位
dalao 大佬
dbq 对不起
dd 弟弟
dd 顶顶
ddl deadline
de 的
dei 对
der 的
dl 大佬
dn 大牛
dou 逗
drl 打扰了
ds diss
duck不必 大可不必
dui 怼
dw 怼
dy 队友
e 额
en 嗯
er 儿
excel 而过 一笑而过
exm excuseme
ez easy
f 佛
f**k fuck
f*k fuck
fa 花
fang 慌
fb facebook
fb foreverbye
fc 废柴
fei 非
five 废物
fk fuck
fo 佛
fufu 呼呼
funnymudpee 放你妈的屁
fu吸 呼吸
fw 废物
gan 干
gang 杠
gc 高潮
gck 滚出去
gd 光电
gdx 狗东西
gdzd 搞到真的
gf girlfriend
gfs 高富帅
gg goodgame
gg 哥哥
ggrks 自己去google一下啊
ghs 搞黄色
ghser 搞黄色的人
gj 杠精
gkd 搞快点
gl 女同性恋
gnps 关你屁事
gou 狗
gs 公司
gsm 搞什么
gsq 搞事情
gun 滚
guna 滚啊
gw guesswhat
gwi则 规则
gwps 关我屁事
gx 恭喜
gx 搞笑
gzs 工作室
g了 gameover了
hh 哈哈
hhh 呵呵呵
high 开心
hin 很
homie 兄弟
hou 好
hx 和谐
hyh 后援会
hyq 好友圈
i了 爱了
j8 男性生殖器
jb 剧本
jb 家暴
jb 男性生殖器
jd 知道
jdl 讲道理
jhq 敬汉卿
jio 脚
jjyy 唧唧歪歪
jms 姐妹们
jo 脚丫子
jo丫 脚丫
jo丫子 脚
jr 鸡儿
ju 批判
jz 集资
kb 捆绑
kl 哭了
kp 控评
ky 没颜色
k他 打他
k你 打你
k她 打她
k它 打它
k我 打我
lb 没品味的人
lj 垃圾
ljyx 垃圾营销
low骚 牢骚
lw 礼物
lz 楼主
lz 老子
md 妈的
mdzz 妈的智障
ml 毫升
mm 妹妹
mm 美眉
mmp fuck
mmp 妈卖批
mpmz 秒评秒赞
mykg Youtube上虚拟主播
myss 美颜盛世
nb 厉害
nbcs 无人在意
nc 脑残
nh 内涵
nmd 你妈的
nsdbd 你说的不对
nsdd 你说得对
nsdd 你说的对
nsdl 你死定了
nsdtdl 你说的太对了
nsl 你死了
o98k ok
odbc 哦大白痴
odk ok
oicu oh i see you
ojbk ok
oxlxs 很菜很辣鸡
papa打脸 啪啪打脸
pb 写真
peach　屁吃
pei 呸
pk 扑街
pldd 漂亮弟弟
plgg 漂亮哥哥
pljj 漂亮姐姐
plmm 漂亮妹妹
ploy 香港理工大学
pmpmp 拼命拍马屁PPL 人们
po主　发帖人
pp 屁屁
pph 披皮黑
pyq 朋友圈
p民　平民
q cute球球 求求
qj 强奸
qnmd 去你妈的
qnmlgbiu 去你马勒戈壁
qs 去死
qsb 去死吧切糕省 新疆
qswl 气死我了
rbq 肉便器
rnb really牛逼
rp 人品
rps 真人cp
rs 人身攻击
rt 如题
ruok Are you ok
rz 弱智
sao 骚
sbt 性变态
se 少恶心
seafood 屁股
sen气 生气
shrek 绿帽子
sj 视奸
sjb 神经病
sjd 是假的
skr 赞同
skr小机灵鬼 是个小机灵鬼
skr汉子 是个汉子
slap 打耳光
sm 虐待
so 手
soho 搜狐
sqgg 帅气哥哥
srds 虽然但是
ss 私生
ssfd 瑟瑟发抖
ssmy 盛世美颜
starfucks 星巴克
swag 酷
sxbk 丧心病狂
sy 手淫
szd 是真的
s谁在唱kr 是谁在唱歌
tan90 不存在
tb 团婊
tbl 太笨了
tc 天朝
tcjj 天朝姐姐
tcl 太惨了
tcl 太菜了
tfl 太烦了
tg 舔狗
th 土豪
thx thanks
tk 偷窥
tla 谈恋爱
tmd 他妈的
tnnd 他奶奶的
tql 太强了
ts 同上
tsl 太傻了
tx 腾讯
ty thank you
u1s1 有一说一
umc 国际版Minecraft
up主 上传者
uuz 幽幽子
uvb 户外紫外线
uzi 乌兹
vans 完事
vanyousee 玩游戏
vb 微博
vc 虚拟歌手引擎VOCALOID
vvvv 湾湾
vx 微信
wanan 我爱你爱你
wanan 晚安
wb 欢迎回来
wdnh《我的女孩》
wdnmd 我屌你妈的
wjjw 哇唧唧哇（娱乐公司）
wqnmb 我去你妈逼
wqnmlgb 我去你妈了个屄
wsl 我死了
ww 湾湾
wxfs《无心法师》
wyns 无仪宁死
xfxy 腥风血雨
xj 戏精
xjb 洗脚婢（团队内无人气的偶像）
xjj 小姐姐
xjm 小姐妹
xlx 小聋瞎
xmly 喜马拉雅（指二者之间档次差得很远）
xmsl 羡慕死了
xswl 笑死我了
xtm 小透明
xxj 小学鸡
xxss up主小熊绅士
xxzdgy 小心中单光一
y1s1 有一说一
yjgj 有句港句（有句讲句）
yjjj 有句讲句
yjsj 有句说句
yxh 营销号
yysy 有一说一
zcy902 战场原是你吗
zei 嘴
zei 最
zei 醉
zqsg 真情实感
āì 爱
⒈亇 一个
⒈衯 一份
の 的
タ陽 夕阳
ル 儿
ー個 一个
ー衯 一份
ㄆ陽 夕阳
一丝不狗 一丝不苟
一介不狗 一介不苟
一代拉吓 路上小心
一内 行
一嘎那 先借给我
一姿哟那一 没有必要
一字不狗 一字不苟
一己挖弩 你欺负人家
一带ki马斯 我走了
一带啦下一 走吧
一意孤星 一意孤行
一打一 很痛
一打卡玛斯 我吃了
一拉虾一妈塞 欢迎光临
一挖呦 没关系
一机之长 一技之长
一模一羊 一模一样
一次哇 平常
一毫不狗 一毫不苟
一片汪羊 一片汪洋
一笔不狗 一笔不苟
一笔狗断 一笔勾断
一笔狗销 一笔勾销
一网情深 一往情深
一肖腻 一起
一脸萌鼻 一脸懵逼
一那那一 不要
一颗赛艇 exciting
丅著雩 下着雨
万火留 万一火了呢？先留名
三丧 三星
三个呆婊 三个代表
三代表 三个代表
三克油 谢谢你
三哥代表 三个代表
三太子 金正恩
三姓家奴 朝韩
三小只 TFBOYS
三板斧 程咬金
三棒 三星
三男一狗 侠盗猎车手5
三盅全会 三中全会
三色台 TVB
三虎 毛彪
上将 潘凤
上杉姐姐 上杉谦信
上海吃饭大学 上海师范大学
上海第一建筑施工队 同济大学
下著雨 下着雨
不叽道 不知道
不呐呐 banana
不得house 不得好死
不拿拿 banana
不明嚼栗 不明觉厉
不许dong 不许动
丘丘 QQ
丘处机 李长春
丘胖子 丘吉尔
东东 东西
丝打 sister
丟 丢
丢你螺母 丢你老母
丢雷楼某 丢你老母
丧薪病狂 丧心病狂
丧门星 三星
丫头行 亚投行
中V 中文V家
中狗之言 中冓之言
丹鼎货 丹顶鹤
举卑消愁 举杯消愁
举卑消愁愁更愁 举杯消愁愁更愁
举高高 渴望被宠爱
久久 长久
么么 亲你
么么 亲吻
么么哒 亲你
么事 没事
么办法 没办法
么吵 不要吵
么得 没得
么意思 没意思
么慌 不慌
么潮 不要吵
么逼逼 不要叫嚷
么钱 没钱
么问题 没问题
乌拉 万岁
乌拉鸭妈西 太羡慕你了
乐极生悲 乐极生悲
乔不死 乔布斯
乔帮主 乔布斯
乔教主 乔布斯
乜汻 也许
九酒归地 九九归一
九阴争茎 九阴真经
习字来习嘛习答 失礼了
习字来习马斯 告辞了
书包杜 凯文杜兰特
事头婆 英国女王
二B 二逼
二杂 儿子啊
二比 二逼
二笔 二逼
五五开 卢本伟
五位数 色图
五速次给 大骗子
五锁 胡说
五锁刺ki 你说谎
亚历山大 压力山大
亚子 样子
亚当 搞定啦
亭长 刘邦
人也女马白勺 他妈的
人参公鸡 人身攻击
人品 运气
人妖国 泰国
人才被出 人才辈出
人木又 人权
人造19号 金正恩
仅仅鸡较 斤斤计较
今tia 今天
介个 这个
他大姨妈 我回来了
令人作藕 令人作呕
以鹅传鹅 以讹传讹
仦說 小说
仪脑哟 不用了
仲夏狗火 仲夏篝火
仴煷 月亮
任人危险 任人唯贤
伊亚 不是
伊妹儿 Email
伏了 服了
伐开心 不开心
伟光正 伟大、光荣、正确的中国共产党
伤害 上海
伤星 伤心
似底 是的
似滴 是的
何弃疗 为何放弃治疗
你凑凯 你走开
你国 贵国
你在想妈妈 你真的是笨手笨脚的或者反应慢
你好菜呀 你能力好差呀
你好蔡啊 你能力好差呀
你赵 赵国
你造吗 你知道吗
依ki马消无噢噢 走吧
依呀 不
依呀，打依叫不 不，没事
依哭腰 走吧
依塔大ki马死 我要开动啦
依存结狗 依存结构
依帖ki马死 我走啦
依帖拉瞎依 你走好
依开 冲啊
依毛偷 妹妹
依马锅楼一扫嘎洗衣跌死卡 最近忙吗
侵侵 特朗普
信誓蛋蛋 信誓旦旦
個性 个性
個鮏 个性
倖褔 幸福
倾鈊 倾心
做wan了 做完了
偶 我
偶嗳尒 我爱你
偷猫打鸡 朋友
傻不你哟 偷一下懒
傻多戴 戴尔
傻客气 萨科奇
傻居居 傻猪猪
像模像羊 像模像样
儿砸 儿子啊
儿贼 儿子诶
兂岢柰哬 无可奈何
兂柰 无奈
兂玙囵吡 无与伦比
兂葰媦 无所谓
兂鍅 无法
兂鍅兂忝 无法无天
兔出贡献 突出贡献
兔围而出 突围而出
兔子 中国
兔杂 中国
兔步青云 徒步青云
兔谋大业 图谋大业
兔飞猛进 突飞猛进
入肉 肏
公举 公主
公猪 公主
兰州 楼主
兲 王八
兲朝 中国
兴汪发达 兴旺发达
兴词狗讼 兴词构讼
冄喨 月亮
内牛满面 泪流满面
冉天王 冉闵
冲鸭 冲呀
冷无缺 冷漠，无理想，信仰缺失
冻人 动人
净如人意 尽如人意
凄惨红 七彩虹
凉凉 完蛋了
几把 男性生殖器
凯森 开心
凹凸曼 奥特曼
出切 出去
刁人 屌人
刁他 屌他
刁你 屌你
刁她 屌她
刁它 屌你
刁我 屌我
刁样 屌样
切糕 维吾尔族
別 别
别bb 别逼逼
别居一格 别具一格
别比比 别逼逼
制杖 智障
刷卡时为零 萨卡什维利
前朝太祖 孙中山
前途无亮 前途无量
剑皇师 鉴黄师
力所能及 力所能鸡
加我养个草 互相加个QQ号
劳改犯 张顺飞
劳资 老子
势如破猪 势如破竹
勇汪直前 勇往直前
動聽 动听
勥 强力
勾的爸 goodbye
北鼻 宝贝
匜許 也许
匿了 先下线了
十八摸 IBM
十卜 support
十字教 基督教
十日卜 卓
千后 00后
千狗万壑 千沟万壑
千里草 董
半果 裸
卑伤 悲伤
南 难
南受 难受
卜 不
卜偠 不要
卜葽 不要
卜要 不要
占戈土也 战地
卡口依依那
卡哇伊 可爱
卡机嘛 看一下我嘛
卡瓦伊依内 真可爱
卡瓦伊扫 真可怜
危机4V 危机四伏
又当又立 又要当婊子又想立牌坊
双 又
双鸭山大学 中山大学
发发 花花
发福蝶 花蝴蝶
叒 又
叕 又
受打内 说的也是
口七啦口扫 我也不好意思
口你七哇 你好
口区 呕
口哇依那 好可怕
口年 可怜
口怜 可怜
口来依哭拉跌的死卡 这个多少钱
口来挖囊打卡 这是什么
口水多过茶 诋毁闲人的妙语
口累跌打依叫不 这样可以吗
口耐 可爱
口蜜腹健 口蜜腹剑
口那依跌 别过来
叫兽 教授
叭 吧
可得 可以
台巴子 台湾人
台湾689 马英九
史力加 绿帽子
司马夹头 司马南
叽道 知道
吂記 忘记
吃柠檬 操你妈
吃翔 吃屎
吃藕 丑
吃鲸 吃惊
合法铜 萝莉控
吊人 屌人
吊他 屌他
吊你 屌你
吊她 屌她
吊它 屌你
吊我 屌我
吊样 屌样
同归鱼尽 同归于尽
名不正，盐不顺 名不正，言不顺
向壁虚狗 向壁虚构
吔許 也许
吢丕 心口不一
吢砕 心碎
吢綪 心情
吢鯳 心底
吥 不
吥倁檤 不知道
吥偠 不要
吥葽 不要
吥要 不要
吻舞双全 文武双全
吼 好
呀咩帖 不要
呀咩路 算了
呀哒 成功了
呀打 太棒了
呀拉席 禽兽
呆湾 台湾
呆若母鸡 呆若木鸡
和理非 和平、合理、非歧视
和谐 删除
咕咕day goodgoodday
咱咱打咩 糟透了
咱耐他特那一 真可惜
咸鱼 闲鱼
哇卡他 明白了
哇噶里嘛习答 我知道了
哇路易 抱歉
哈奇 哈士奇
哈拉咻 好
哈机没吗西特 初次见面
哈气 八
哈那赛腰 放开我
哋 地
哎鸭 哎呀
哑怕里扫屋打 果然如此
哟嘎打 太好了
哟牢西古 请多指教
哟西 乖好
員慲 圆满
哥屋恩 滚
哦写特妈惹法克 哦日他妈fuck
哦几把k ok
哦压死你 晚安
哦吉比 小不点
哦吗哎 你
哦吗哒塞 大家久等了
哦吗达塞 大家久等了
哦呦 俄克拉荷马大学
哦哈哟 早上好
哦噶西哇 好奇怪啊
哦季比 小不点
哦摩西罗伊 有趣
哦滴K 好的
哦爸妈 奥巴马P9 啤酒
哦词该 冷静
哦豆豆 弟弟
哦赛哇你那里马斯 今后请多多指教
哦黑 奥巴马
哭 九
哭他巴累 去死吧
哯茬 现在
唁凊 言情
唁卜鮋蔠 言不由衷
唍絾 完成
唍镁 完美
唏朢 希望
唶衹 锡纸
啣丅 卸下
啣疜 卸下
啣芐 卸下
啤酒国　德国
啲 的
啾咪 亲我
喂你些屎 为你写诗
喂绕 围绕
善解人衣 善解人意
喜气羊羊 喜气洋洋
喝喝喝 呵呵呵
喝喝有名 赫赫有名
嗨森 开心
嗳伱 爱你
嗳妳 爱你
嗳尒 爱你
嗳綪 爱情
嘚 得
嘞萌 柠檬
嘦 只要
嘦怹 只要他心
嘦您 只要你心
嘬逅 最后
噫唸 意念
噫氪撕Q撕迷 ExcuseMe
噬元兽 猫
噹 当
嚡子 鞋子
囍歓 喜欢
囍涺 喜剧
四仰化三铁 科比布莱恩特
四捏 事呢
四斋蒸鹅心 死宅真恶心
四毛 哈萨克斯坦人
四爷 雍正帝
回踩 由爱转恨
因吹斯停 interesting
因吹斯汀 interesting
因垂丝汀 interesting
因循狗且 因循苟且
因锤斯挺 interesting
囩煙 云烟
围脖 微博
固執 固执
图样图森破 too young too simple
國王 国王
園懑 圆满
圓滿 圆满
土澳 澳大利亚
土狗 土耳其
土鳖 土耳其
在伐？ 在吗？
地狱嗨 地域嗨
地狱海 地域嗨
坏银 坏人
坛子 论坛
坟蛋 混蛋
坡县　新加坡
垬 土共
塑料星 三星
塞满 万岁
塟嗳鎵鏃 葬爱家族
塟靉傢鏃 葬爱家族
填海华 刘德华
墙颈怒 长颈鹿
壩愾 霸气
壩气 霸气
壩氣 霸气
壹個 一个
夕羊余晖 夕阳余晖
夕羊西下 夕阳西下
外瑞古德 非常好
大lai流 大奶牛
大丈夫 没问题
大你鱼 大鲤鱼
大吃一鲸 大吃一惊
大呛 大象
大大 爸爸
大展宏兔 大展宏图
大穷猫 大熊猫
大脑英 大老鹰
大虾 大侠
大蟒鞋 大蟒蛇
大西几 大狮子
大诺坨 大骆驼
大飞囊 大灰狼
大鸡大利 大吉大利
大鸡居 大蜘蛛
天尝地酒 天长地久
天朝 中国
天气预报大学 南京信息工程大学
天涯海脚 天涯海角
天狗 舔狗
天龙人 回族
太孙 毛新宇
太祖 毛泽东
太踏马 太他妈
太阳党 国民党
夯 大力
夹击妹抖 风纪委员
奀 不大
奆 巨大
奇奇gaygay 奇奇怪怪
奈斯 做的好
套摸他季 朋友
套莫他季 朋友
奣 天明
女兆日月 姚明
女子 好
女拳 女权
女银 女人
奶他 鼓励他
奶你 鼓励你
奶她 鼓励她
奶它 鼓励它
奶思 做的好
奶我 鼓励我
奶无晨 up主萨达姆奶茶
好响出去丸 好想出去玩
好好读术 好好读书
好寂馍 好寂寞
好康 好看
好星 好心
好菇毒 好孤独
好银 好人
妈妈打  么么哒
妈的法克 motherfucker
妈问跪 极度佩服和崇拜
妓者 记者
妻可修 可恶
姃眀 证明
姆们  我们
姑狗 google
姕 此女
姜你军 将你军
姜信姜疑 将信将疑
姬 机
姿势 知识
娘希匹 操你妈
娜娜 七
娿 啊
婀 啊
婊砸 婊子啊
婞諨 幸福
婴材施教 因材施教
嫑 不要
孕孕众生 芸芸众生
字字猪玑 字字珠玑
孙儿子 孙兴慜
孙十万 孙权
孙大兵 孙兴慜
孙大炮 孙中山
孤獨 孤独
学废了 学不会
孩怕 害怕
孩纸 孩子
孬 不好
學習 学习
宁 您
宁好 您好
守望屁股 守望先锋
安可 Encore
宋朝干部 松赞干布
宋礼勤 李克勤
完瓜了 做完了
宗木办 怎么办
宣 喜欢
害 是
寒 吃惊
寘恏鈨 真好玩
寶 宝
対 对
将你军 姜你军
小P孩 小屁孩
小乌堆 小乌龟
小凶许 小松鼠
小割几 小鸽子
小吖 小孩子
小挠许 小老鼠
小海疼 小海豚
小白去 小白兔
小盆友 小朋友
小脑斧 小老虎
小西几 小狮子
尐説 小说
少儿𠁇 少儿不宜
尛說 小说
就酱 就这样
就酱子了 就这样子了
尸丁丁 踢屁屁
尸穴 屄
尼玛 你妈
尼玛逼 你妈逼
屁民　平民
屁眼子 骗子
居居 猪猪
屎 死
屎了 死了
屎报 环球时报
屑老板 人渣反派
山口丁 坦克世界
山口山 魔兽世界
岀 出
岂可休 可恶
岂可修 可恶
川建国 特朗普
巭 功夫
已經 已经
巳坙 已经
巳經 已经
巴适 舒适
布吉岛 不知道
布小星 不小心
布星 不行
布耀 不要
帅skr人了 帅死个人了
帅锅 帅哥
希拉那依 不知道
希腊那依 不知道
带盐 代言
带许 袋鼠
席八 他妈的
帮k 帮扩
干shenme 干什么
平西王　薄熙来
幹 干
幹你娘 干你娘
幹嘛 干嘛
幺幺零 110
应孕而生 应运而生
应游尽游 应有尽有
度娘 百度
康康 看看
廂輔廂絾 相辅相成
廢話 废话
开屏暴击 一点开视频就被内容吓到了
开森 开心
开火车 说黄段子或讨论下三路话题
开车 讲黄段子
弍 二
弓虽 强
弓长 张
弯的4 wonderful
当 Downlaod
彩星 才行
彩笔 菜逼
彭国母　彭丽媛
彭妈妈　彭丽媛
彭文歪　彭文正
彭麻麻　彭丽媛
彳亍口巴 行吧
彽蜩 低调
往事虎啸而过 往事呼啸而过
律师函警告 请注意举止言谈
得天独猴 得天独厚
從 从
忈 二心
忧球 忧愁
怍騙 诈骗
思卓博瑞 strawberry
思密马赛 打扰一下
怪蜀黍 怪叔叔
怼芣起 对不起
恢单女 离婚后又康复独身日子的女生
恩 嗯
恶星 恶心
恶熏 恶心
恶熏熏 恶心心
悥踗 意念
悪吢 恶心
悱炷蓅 非主流
悲傷 悲伤
悻泠惔 性冷淡
悻鍢 性福
情怀帝 罗永浩
惊喜莲莲 惊喜连连
惊黄失措 惊慌失措
惡心 恶心
惡鈊 恶心
想你想到花轰 想你想到发疯
想做饭给你七 想做饭给你吃
想写轰信给你 想写封信给你
想和你一起看熏熏 想和你一起看星星
想打定话给你 想打电话给你
想死里惹 想死你了
想里 想你
惹 了
意呆梨 意大利
愛伱 爱你
愛凊 爱情
愛妳 爱你
愛尒 爱你
愛情 爱情
感謝 感谢
憅 动心
憋说话 别说话
憙劇 喜剧
憙歡 喜欢
憨憨 呆萌
懆伱榪 操你妈
懆妳榪 操你妈
戈壁 个逼
我伙呆 我和我的小伙伴们都惊呆了
我伙惊 我和我的小伙伴们都惊呆了
我前年买了个包 我去你妈了个屄
我去年买了个表 我去你妈了个屄
我去年买了个饼 我去你妈了个屄
我啸了 我笑了
我喂自己袋盐 我为自己代言
我好方 我好慌
我宣你 我喜欢你
我开始都摸蛋蛋 我就觉得奇怪
我愛妳 我爱你
我敲李妈 我靠你妈
我方了 我慌了
我枯了 我哭了
我的发 what the fuck
我的马鸭 我的妈呀
我系 我是
我耐啦 我来啦
我西虚你 我喜欢你
我觉得兜捕星 我觉得都不行
我觉得开星 我觉得开心
我觉得海星 我觉得还行
我记几丸 我自己玩
我贩剑 我犯贱
我风了 我疯了
我黑负雷 我喜欢你
战忽局 战略忽悠局
戴三个表 三个代表
戴三块表 三个代表
房患未然 防患未然
所里挖那里蚂蚁 这可不行
手白 拍
扎别 差别
扎星 扎心
扎男 黄嘉新
扎马米洛 活该
托太莫 非常
托老总 托洛茨基
扫货 骚货
扬眉兔气 扬眉吐气
扶e 扶额
批哩批哩　B站
批站　B站
把m 把妹
抑羊顿挫 抑扬顿挫
投笔从融 投笔从戎
抖m 抖妹
抖s 抖受
抛砖　发帖
护惠护莉 互惠互利
抹茶冰淇淋自由 财务自由
拆腻子财布 中国的钱包
拉拉 女同性恋
拍砖　跟帖
